"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","307.26","304.01","308.93","303.31","36.47M","0.80%"
"04/27/2023","304.83","295.97","305.20","295.25","46.46M","3.20%"
"04/26/2023","295.37","296.70","299.57","292.73","64.60M","7.24%"
"04/25/2023","275.42","279.51","281.60","275.37","45.77M","-2.25%"
"04/24/2023","281.77","282.09","284.95","278.72","26.61M","-1.40%"
"04/21/2023","285.76","285.01","286.27","283.06","21.68M","-0.12%"
"04/20/2023","286.11","285.25","289.03","285.08","23.24M","-0.81%"
"04/19/2023","288.45","285.99","289.05","284.54","17.15M","0.03%"
"04/18/2023","288.37","291.57","291.75","287.01","20.16M","-0.15%"
"04/17/2023","288.80","289.93","291.60","286.16","23.84M","0.93%"
"04/14/2023","286.14","287.00","288.48","283.69","20.99M","-1.28%"
"04/13/2023","289.84","283.59","289.90","283.17","24.22M","2.24%"
"04/12/2023","283.49","284.79","287.01","281.96","27.40M","0.23%"
"04/11/2023","282.83","285.75","285.98","281.64","27.28M","-2.27%"
"04/10/2023","289.39","289.21","289.60","284.71","23.10M","-0.76%"
"04/06/2023","291.60","283.21","292.08","282.03","29.77M","2.55%"
"04/05/2023","284.34","285.85","287.15","282.92","22.06M","-0.99%"
"04/04/2023","287.18","287.23","290.45","285.67","25.82M","-0.02%"
"04/03/2023","287.23","286.52","288.27","283.95","24.88M","-0.37%"
"03/31/2023","288.30","283.73","289.27","283.00","32.77M","1.50%"
"03/30/2023","284.05","284.23","284.46","281.48","25.05M","1.26%"
"03/29/2023","280.51","278.96","281.14","278.41","25.09M","1.92%"
"03/28/2023","275.23","275.79","276.14","272.05","21.88M","-0.42%"
"03/27/2023","276.38","280.50","281.46","275.52","26.84M","-1.49%"
"03/24/2023","280.57","277.24","280.63","275.28","28.20M","1.05%"
"03/23/2023","277.66","277.94","281.06","275.20","36.61M","1.97%"
"03/22/2023","272.29","273.40","281.04","272.18","34.87M","-0.54%"
"03/21/2023","273.78","274.88","275.00","269.52","34.56M","0.57%"
"03/20/2023","272.23","276.98","277.48","269.85","43.47M","-2.58%"
"03/17/2023","279.43","278.26","283.33","276.32","69.53M","1.17%"
"03/16/2023","276.20","265.20","276.56","263.28","54.83M","4.05%"
"03/15/2023","265.44","259.98","266.48","259.21","46.03M","1.78%"
"03/14/2023","260.79","256.75","261.07","255.86","33.62M","2.71%"
"03/13/2023","253.92","247.40","257.91","245.73","33.34M","2.14%"
"03/10/2023","248.59","251.08","252.79","247.60","28.33M","-1.48%"
"03/09/2023","252.32","255.82","259.56","251.58","26.65M","-0.54%"
"03/08/2023","253.70","254.04","254.54","250.81","17.34M","-0.18%"
"03/07/2023","254.15","256.30","257.69","253.39","21.47M","-1.06%"
"03/06/2023","256.87","256.43","260.12","255.98","24.11M","0.62%"
"03/03/2023","255.29","252.19","255.62","251.39","30.76M","1.66%"
"03/02/2023","251.11","246.55","251.40","245.61","24.83M","1.97%"
"03/01/2023","246.27","250.76","250.93","245.79","27.57M","-1.26%"
"02/28/2023","249.42","249.07","251.49","248.73","22.49M","-0.30%"
"02/27/2023","250.16","252.46","252.82","249.39","21.19M","0.38%"
"02/24/2023","249.22","249.96","251.00","248.10","24.99M","-2.18%"
"02/23/2023","254.77","255.56","256.84","250.48","29.22M","1.30%"
"02/22/2023","251.51","254.09","254.34","250.34","22.49M","-0.46%"
"02/21/2023","252.67","254.48","255.49","251.59","28.40M","-2.09%"
"02/17/2023","258.06","259.39","260.09","256.00","30.00M","-1.56%"
"02/16/2023","262.15","264.02","266.74","261.90","29.60M","-2.66%"
"02/15/2023","269.32","268.32","270.73","266.18","28.96M","-1.05%"
"02/14/2023","272.17","272.67","274.97","269.28","37.05M","0.31%"
"02/13/2023","271.32","267.64","274.60","267.15","44.63M","3.12%"
"02/10/2023","263.10","261.53","264.09","260.66","25.82M","-0.20%"
"02/09/2023","263.62","273.80","273.98","262.80","42.38M","-1.17%"
"02/08/2023","266.73","273.20","276.76","266.21","54.69M","-0.31%"
"02/07/2023","267.56","260.53","268.77","260.08","50.84M","4.20%"
"02/06/2023","256.77","257.44","258.30","254.78","22.52M","-0.61%"
"02/03/2023","258.35","259.54","264.20","257.10","29.08M","-2.36%"
"02/02/2023","264.60","258.82","264.69","257.25","39.94M","4.69%"
"02/01/2023","252.75","248.00","255.18","245.47","31.26M","1.99%"
"01/31/2023","247.81","243.45","247.95","242.94","26.54M","2.10%"
"01/30/2023","242.71","244.51","245.60","242.20","25.87M","-2.20%"
"01/27/2023","248.16","248.99","249.83","246.83","26.50M","0.06%"
"01/26/2023","248.00","243.65","248.31","242.00","33.45M","3.07%"
"01/25/2023","240.61","234.48","243.30","230.90","66.53M","-0.59%"
"01/24/2023","242.04","242.50","243.95","240.44","40.23M","-0.22%"
"01/23/2023","242.58","241.10","245.16","239.65","31.93M","0.98%"
"01/20/2023","240.22","234.85","240.74","234.51","35.39M","3.57%"
"01/19/2023","231.93","233.78","235.52","230.68","28.62M","-1.65%"
"01/18/2023","235.81","241.56","242.38","235.52","30.03M","-1.89%"
"01/17/2023","240.35","237.97","240.91","237.09","29.83M","0.47%"
"01/13/2023","239.23","237.00","239.37","234.92","21.33M","0.30%"
"01/12/2023","238.51","235.26","239.90","233.56","27.27M","1.16%"
"01/11/2023","235.77","231.29","235.95","231.11","28.67M","3.02%"
"01/10/2023","228.85","227.75","231.31","227.33","27.03M","0.76%"
"01/09/2023","227.12","226.45","231.24","226.41","27.37M","0.97%"
"01/06/2023","224.93","223.00","225.76","219.35","43.61M","1.18%"
"01/05/2023","222.31","227.20","227.55","221.76","39.59M","-2.96%"
"01/04/2023","229.10","232.28","232.87","225.96","50.62M","-4.37%"
"01/03/2023","239.58","243.08","245.75","237.40","25.74M","-0.10%"
"12/30/2022","239.82","238.21","239.96","236.66","21.94M","-0.49%"
"12/29/2022","241.01","235.65","241.92","235.65","19.77M","2.76%"
"12/28/2022","234.53","236.89","239.72","234.17","17.46M","-1.03%"
"12/27/2022","236.96","238.70","238.93","235.83","16.69M","-0.74%"
"12/23/2022","238.73","236.11","238.87","233.94","21.21M","0.23%"
"12/22/2022","238.19","241.25","241.99","233.87","28.65M","-2.55%"
"12/21/2022","244.43","241.69","245.62","240.11","23.69M","1.09%"
"12/20/2022","241.80","239.40","242.91","238.42","25.15M","0.56%"
"12/19/2022","240.45","244.86","245.21","238.71","29.70M","-1.73%"
"12/16/2022","244.69","248.55","249.84","243.51","86.10M","-1.73%"
"12/15/2022","249.01","253.72","254.20","247.34","35.57M","-3.19%"
"12/14/2022","257.22","257.13","262.59","254.31","35.41M","0.12%"
"12/13/2022","256.92","261.69","263.92","253.07","42.20M","1.75%"
"12/12/2022","252.51","247.44","252.54","247.17","30.67M","2.89%"
"12/09/2022","245.42","244.69","248.31","244.16","20.61M","-0.80%"
"12/08/2022","247.40","244.84","248.74","243.06","22.61M","1.24%"
"12/07/2022","244.37","244.83","246.16","242.21","20.48M","-0.31%"
"12/06/2022","245.12","250.82","251.86","243.78","22.46M","-2.03%"
"12/05/2022","250.20","252.01","253.82","248.06","23.44M","-1.89%"
"12/02/2022","255.02","249.82","256.06","249.69","21.53M","0.13%"
"12/01/2022","254.69","253.87","256.12","250.92","26.04M","-0.18%"
"11/30/2022","255.14","240.57","255.33","239.86","47.59M","6.16%"
"11/29/2022","240.33","241.40","242.79","238.21","17.96M","-0.59%"
"11/28/2022","241.76","246.08","246.65","240.80","24.81M","-2.32%"
"11/25/2022","247.49","247.31","248.70","246.73","9.20M","-0.04%"
"11/23/2022","247.58","245.10","248.28","244.27","19.51M","1.04%"
"11/22/2022","245.03","243.59","245.31","240.71","19.67M","1.23%"
"11/21/2022","242.05","241.43","244.67","241.19","26.39M","0.34%"
"11/18/2022","241.22","243.51","243.74","239.03","27.61M","-0.19%"
"11/17/2022","241.68","237.78","243.25","237.63","23.12M","-0.02%"
"11/16/2022","241.73","242.79","243.80","240.42","24.09M","-0.10%"
"11/15/2022","241.97","245.66","247.00","240.03","31.39M","0.17%"
"11/14/2022","241.55","241.99","243.91","239.21","31.12M","-2.25%"
"11/11/2022","247.11","242.99","247.99","241.93","34.62M","1.70%"
"11/10/2022","242.98","235.43","243.33","235.00","46.27M","8.23%"
"11/09/2022","224.51","227.37","228.63","224.33","27.85M","-1.91%"
"11/08/2022","228.87","228.70","231.65","225.84","28.19M","0.44%"
"11/07/2022","227.87","221.99","228.41","221.28","33.50M","2.93%"
"11/04/2022","221.39","217.55","221.59","213.43","36.79M","3.33%"
"11/03/2022","214.25","220.09","220.41","213.98","36.63M","-2.66%"
"11/02/2022","220.10","229.46","231.30","220.04","38.41M","-3.54%"
"11/01/2022","228.17","234.60","235.74","227.32","30.59M","-1.71%"
"10/31/2022","232.13","233.76","234.92","231.15","28.36M","-1.59%"
"10/28/2022","235.87","226.24","236.60","226.05","40.65M","4.02%"
"10/27/2022","226.75","231.04","233.69","225.78","40.42M","-1.98%"
"10/26/2022","231.32","231.17","238.30","230.06","82.68M","-7.72%"
"10/25/2022","250.66","247.26","251.04","245.83","34.78M","1.38%"
"10/24/2022","247.25","243.76","247.84","241.29","24.91M","2.12%"
"10/21/2022","242.12","234.74","243.00","234.50","26.30M","2.53%"
"10/20/2022","236.15","235.77","241.31","234.87","21.81M","-0.14%"
"10/19/2022","236.48","237.04","239.61","234.29","19.99M","-0.85%"
"10/18/2022","238.50","243.24","243.93","235.37","26.33M","0.41%"
"10/17/2022","237.53","235.82","238.96","235.13","28.14M","3.92%"
"10/14/2022","228.56","235.54","237.24","228.34","30.20M","-2.42%"
"10/13/2022","234.24","219.85","236.10","219.13","42.55M","3.76%"
"10/12/2022","225.75","225.40","227.86","223.96","21.90M","0.15%"
"10/11/2022","225.41","227.62","229.06","224.11","30.47M","-1.68%"
"10/10/2022","229.25","233.05","234.56","226.73","29.74M","-2.13%"
"10/07/2022","234.24","240.90","241.32","233.17","37.77M","-5.09%"
"10/06/2022","246.79","247.93","250.34","246.08","20.24M","-0.97%"
"10/05/2022","249.20","245.99","250.58","244.10","20.35M","0.13%"
"10/04/2022","248.88","245.09","250.36","244.97","34.89M","3.38%"
"10/03/2022","240.74","235.41","241.61","234.66","28.88M","3.37%"
"09/30/2022","232.90","238.29","240.54","232.73","35.69M","-1.94%"
"09/29/2022","237.50","238.89","239.95","234.41","27.48M","-1.48%"
"09/28/2022","241.07","236.81","242.33","234.73","29.03M","1.97%"
"09/27/2022","236.41","239.98","241.80","234.50","27.02M","-0.44%"
"09/26/2022","237.45","237.04","241.45","236.90","27.69M","-0.20%"
"09/23/2022","237.92","239.54","241.13","235.20","34.18M","-1.27%"
"09/22/2022","240.98","237.87","243.86","237.57","31.06M","0.85%"
"09/21/2022","238.95","244.27","247.66","238.90","28.63M","-1.44%"
"09/20/2022","242.45","242.06","243.51","239.64","26.66M","-0.85%"
"09/19/2022","244.52","242.47","245.14","240.85","26.83M","-0.09%"
"09/16/2022","244.74","244.26","245.30","242.06","39.79M","-0.26%"
"09/15/2022","245.38","249.77","251.40","244.02","31.53M","-2.71%"
"09/14/2022","252.22","253.53","254.23","249.86","23.91M","0.09%"
"09/13/2022","251.99","258.84","260.40","251.59","33.35M","-5.50%"
"09/12/2022","266.65","265.78","267.45","265.16","18.75M","0.83%"
"09/09/2022","264.46","260.50","265.23","260.29","22.09M","2.30%"
"09/08/2022","258.52","257.51","260.43","254.79","20.32M","0.17%"
"09/07/2022","258.09","254.70","258.83","253.22","24.13M","1.91%"
"09/06/2022","253.25","256.20","257.83","251.94","21.33M","-1.10%"
"09/02/2022","256.06","261.69","264.74","254.47","22.86M","-1.67%"
"09/01/2022","260.40","258.87","260.89","255.41","23.26M","-0.41%"
"08/31/2022","261.47","265.39","267.11","261.33","24.79M","-0.57%"
"08/30/2022","262.97","266.67","267.05","260.66","22.77M","-0.85%"
"08/29/2022","265.23","265.85","267.40","263.85","20.34M","-1.07%"
"08/26/2022","268.09","279.08","280.34","267.98","27.55M","-3.86%"
"08/25/2022","278.85","277.33","279.02","274.52","16.58M","1.11%"
"08/24/2022","275.79","275.41","277.23","275.11","18.14M","-0.24%"
"08/23/2022","276.44","276.44","278.86","275.40","17.53M","-0.47%"
"08/22/2022","277.75","282.08","282.46","277.22","25.06M","-2.94%"
"08/19/2022","286.15","288.90","289.25","285.56","20.57M","-1.39%"
"08/18/2022","290.17","290.19","291.91","289.08","17.19M","-0.39%"
"08/17/2022","291.32","289.74","293.35","289.47","18.25M","-0.47%"
"08/16/2022","292.71","291.99","294.04","290.42","18.10M","-0.26%"
"08/15/2022","293.47","291.00","294.18","290.11","18.09M","0.53%"
"08/12/2022","291.91","288.48","291.91","286.94","22.62M","1.70%"
"08/11/2022","287.02","290.85","291.21","286.51","20.07M","-0.74%"
"08/10/2022","289.16","288.17","289.81","286.94","24.69M","2.43%"
"08/09/2022","282.30","279.64","283.08","277.61","23.41M","0.71%"
"08/08/2022","280.32","284.05","285.92","279.32","18.76M","-0.92%"
"08/05/2022","282.91","279.15","283.65","278.68","16.77M","-0.26%"
"08/04/2022","283.65","281.80","283.80","280.17","18.10M","0.42%"
"08/03/2022","282.47","276.76","283.50","276.61","23.52M","2.78%"
"08/02/2022","274.82","276.00","277.89","272.38","22.75M","-1.15%"
"08/01/2022","278.01","277.82","281.28","275.84","21.54M","-0.97%"
"07/29/2022","280.74","277.70","282.00","276.63","32.15M","1.57%"
"07/28/2022","276.41","269.75","277.84","267.87","33.46M","2.85%"
"07/27/2022","268.74","261.16","270.05","258.85","45.99M","6.69%"
"07/26/2022","251.90","259.86","259.88","249.57","39.35M","-2.68%"
"07/25/2022","258.83","261.00","261.50","256.81","21.06M","-0.59%"
"07/22/2022","260.36","265.24","265.33","259.07","21.88M","-1.69%"
"07/21/2022","264.84","259.79","264.89","257.03","22.40M","0.98%"
"07/20/2022","262.27","259.90","264.87","258.91","22.79M","1.06%"
"07/19/2022","259.53","257.57","259.72","253.68","25.01M","2.08%"
"07/18/2022","254.25","259.75","260.84","253.30","20.98M","-0.96%"
"07/15/2022","256.72","255.72","260.37","254.77","29.77M","1.04%"
"07/14/2022","254.08","250.57","255.14","245.94","25.10M","0.54%"
"07/13/2022","252.72","250.19","253.55","248.11","29.50M","-0.37%"
"07/12/2022","253.67","265.88","265.94","252.04","35.87M","-4.10%"
"07/11/2022","264.51","265.65","266.53","262.18","19.52M","-1.18%"
"07/08/2022","267.66","264.79","268.10","263.29","19.66M","-0.28%"
"07/07/2022","268.40","265.12","269.06","265.02","20.86M","0.82%"
"07/06/2022","266.21","263.75","267.99","262.40","23.82M","1.28%"
"07/05/2022","262.85","256.16","262.98","254.74","22.97M","1.26%"
"07/01/2022","259.58","256.39","259.77","254.61","22.84M","1.07%"
"06/30/2022","256.83","257.05","259.53","252.90","31.73M","-1.32%"
"06/29/2022","260.26","257.59","261.97","255.76","20.07M","1.47%"
"06/28/2022","256.48","263.98","266.91","256.32","27.38M","-3.17%"
"06/27/2022","264.89","268.20","268.30","263.28","24.62M","-1.05%"
"06/24/2022","267.70","261.81","267.98","261.72","33.92M","3.41%"
"06/23/2022","258.86","255.57","259.37","253.63","25.86M","2.26%"
"06/22/2022","253.13","251.89","257.17","250.37","25.96M","-0.24%"
"06/21/2022","253.74","250.25","254.75","249.51","29.93M","2.46%"
"06/17/2022","247.65","244.70","250.50","244.03","43.08M","1.09%"
"06/16/2022","244.97","245.98","247.42","243.02","33.17M","-2.70%"
"06/15/2022","251.76","248.31","255.30","246.42","33.11M","2.97%"
"06/14/2022","244.49","243.86","245.74","241.51","28.65M","0.92%"
"06/13/2022","242.26","245.11","249.02","241.53","46.14M","-4.24%"
"06/10/2022","252.99","260.58","260.58","252.53","31.45M","-4.46%"
"06/09/2022","264.79","267.78","272.71","264.63","26.44M","-2.08%"
"06/08/2022","270.41","271.71","273.00","269.61","17.37M","-0.77%"
"06/07/2022","272.50","266.63","273.13","265.94","22.86M","1.40%"
"06/06/2022","268.75","272.06","274.18","267.22","22.40M","-0.47%"
"06/03/2022","270.02","270.31","273.45","268.41","28.06M","-1.66%"
"06/02/2022","274.58","264.45","274.65","261.60","44.01M","0.79%"
"06/01/2022","272.42","275.19","277.69","270.04","25.29M","0.20%"
"05/31/2022","271.87","272.53","274.77","268.93","37.83M","-0.50%"
"05/27/2022","273.24","268.48","273.34","267.56","26.91M","2.76%"
"05/26/2022","265.90","262.27","267.11","261.43","25.00M","1.29%"
"05/25/2022","262.52","258.14","264.58","257.12","28.55M","1.12%"
"05/24/2022","259.62","257.89","261.33","253.50","29.04M","-0.40%"
"05/23/2022","260.65","255.49","261.50","253.43","33.18M","3.20%"
"05/20/2022","252.56","257.24","258.54","246.44","39.20M","-0.23%"
"05/19/2022","253.14","253.90","257.67","251.88","32.69M","-0.37%"
"05/18/2022","254.08","263.00","263.60","252.77","31.36M","-4.77%"
"05/17/2022","266.82","266.11","268.33","262.46","28.83M","2.03%"
"05/16/2022","261.50","259.95","265.82","255.78","32.55M","0.15%"
"05/13/2022","261.12","257.35","263.04","255.35","34.93M","2.26%"
"05/12/2022","255.35","257.69","259.88","250.02","51.03M","-2.00%"
"05/11/2022","260.55","265.68","271.36","259.30","48.98M","-3.32%"
"05/10/2022","269.50","271.69","273.75","265.07","39.34M","1.86%"
"05/09/2022","264.58","270.06","272.36","263.32","47.73M","-3.69%"
"05/06/2022","274.73","274.81","279.25","271.27","37.78M","-0.94%"
"05/05/2022","277.35","285.54","286.35","274.34","43.26M","-4.36%"
"05/04/2022","289.98","282.59","290.88","276.73","33.60M","2.91%"
"05/03/2022","281.78","283.96","284.13","280.15","25.98M","-0.95%"
"05/02/2022","284.47","277.71","284.94","276.22","35.15M","2.50%"
"04/29/2022","277.52","288.61","289.88","276.50","37.07M","-4.18%"
"04/28/2022","289.63","285.19","290.98","281.46","33.65M","2.26%"
"04/27/2022","283.22","282.10","290.97","279.16","63.48M","4.81%"
"04/26/2022","270.22","277.50","278.36","270.00","46.52M","-3.74%"
"04/25/2022","280.72","273.29","281.11","270.77","35.68M","2.44%"
"04/22/2022","274.03","281.68","283.20","273.38","29.41M","-2.41%"
"04/21/2022","280.81","288.58","293.30","280.06","29.45M","-1.94%"
"04/20/2022","286.36","289.40","289.70","285.37","22.91M","0.37%"
"04/19/2022","285.30","279.38","286.17","278.41","22.30M","1.70%"
"04/18/2022","280.52","278.91","282.46","278.34","20.78M","0.25%"
"04/14/2022","279.83","288.09","288.31","279.32","28.22M","-2.71%"
"04/13/2022","287.62","282.73","288.58","281.30","21.91M","1.97%"
"04/12/2022","282.06","289.24","290.74","280.49","30.97M","-1.12%"
"04/11/2022","285.26","291.79","292.61","285.00","34.57M","-3.94%"
"04/08/2022","296.97","300.44","301.12","296.28","24.36M","-1.46%"
"04/07/2022","301.37","296.66","303.65","296.35","31.41M","0.62%"
"04/06/2022","299.50","305.19","307.00","296.71","40.11M","-3.66%"
"04/05/2022","310.88","313.27","314.87","309.87","23.16M","-1.30%"
"04/04/2022","314.97","310.09","315.11","309.71","24.34M","1.79%"
"04/01/2022","309.42","309.37","310.13","305.54","27.11M","0.36%"
"03/31/2022","308.31","313.90","315.14","307.89","33.42M","-1.77%"
"03/30/2022","313.86","313.76","315.95","311.58","28.16M","-0.49%"
"03/29/2022","315.41","313.91","315.82","309.05","30.39M","1.52%"
"03/28/2022","310.70","304.33","310.80","304.33","29.58M","2.31%"
"03/25/2022","303.68","305.23","305.50","299.29","22.57M","-0.14%"
"03/24/2022","304.10","299.14","304.20","298.31","24.48M","1.54%"
"03/23/2022","299.49","300.51","303.23","297.72","25.72M","-1.50%"
"03/22/2022","304.06","299.80","305.00","298.77","27.60M","1.64%"
"03/21/2022","299.16","298.89","300.14","294.90","28.35M","-0.42%"
"03/18/2022","300.43","295.37","301.00","292.73","43.39M","1.76%"
"03/17/2022","295.22","293.29","295.61","289.37","30.82M","0.28%"
"03/16/2022","294.39","289.11","294.57","283.20","37.83M","2.52%"
"03/15/2022","287.15","280.35","287.82","278.73","34.25M","3.87%"
"03/14/2022","276.44","280.34","285.40","275.82","30.66M","-1.30%"
"03/11/2022","280.07","287.96","289.51","279.43","27.21M","-1.93%"
"03/10/2022","285.59","283.02","286.60","280.58","30.63M","-1.01%"
"03/09/2022","288.50","283.44","289.60","280.78","35.20M","4.59%"
"03/08/2022","275.85","277.80","283.96","270.00","48.16M","-1.10%"
"03/07/2022","278.91","288.53","289.69","278.53","43.16M","-3.78%"
"03/04/2022","289.86","294.29","295.66","287.17","32.37M","-2.05%"
"03/03/2022","295.92","302.89","303.13","294.05","27.31M","-1.42%"
"03/02/2022","300.19","295.36","301.47","293.70","31.87M","1.78%"
"03/01/2022","294.95","296.40","299.97","292.15","31.22M","-1.29%"
"02/28/2022","298.79","294.31","299.14","293.00","34.63M","0.50%"
"02/25/2022","297.31","295.14","297.63","291.65","32.55M","0.92%"
"02/24/2022","294.59","272.51","295.16","271.52","56.99M","5.11%"
"02/23/2022","280.27","290.18","291.70","280.10","37.81M","-2.59%"
"02/22/2022","287.72","285.00","291.54","284.50","41.74M","-0.07%"
"02/18/2022","287.93","293.05","293.86","286.31","34.26M","-0.96%"
"02/17/2022","290.73","296.36","296.80","290.00","32.46M","-2.93%"
"02/16/2022","299.50","298.37","300.87","293.68","29.98M","-0.32%"
"02/15/2022","300.47","300.01","300.80","297.02","27.38M","1.85%"
"02/14/2022","295.00","293.77","296.76","291.35","36.36M","-0.01%"
"02/11/2022","295.04","303.19","304.29","294.22","39.18M","-2.43%"
"02/10/2022","302.38","304.04","309.12","300.70","45.39M","-2.84%"
"02/09/2022","311.21","309.87","311.93","307.39","31.28M","2.18%"
"02/08/2022","304.56","301.25","305.56","299.95","32.42M","1.20%"
"02/07/2022","300.95","306.17","307.84","299.90","28.53M","-1.63%"
"02/04/2022","305.94","300.21","308.80","299.97","35.10M","1.56%"
"02/03/2022","301.25","309.49","311.23","299.96","43.73M","-3.90%"
"02/02/2022","313.46","309.63","315.12","308.88","36.64M","1.52%"
"02/01/2022","308.76","310.41","310.63","305.13","40.95M","-0.71%"
"01/31/2022","310.98","308.95","312.38","306.37","46.44M","0.88%"
"01/28/2022","308.26","300.23","308.48","294.45","49.74M","2.81%"
"01/27/2022","299.84","302.66","307.30","297.93","53.48M","1.05%"
"01/26/2022","296.71","307.99","308.50","293.03","90.43M","2.85%"
"01/25/2022","288.49","291.52","294.99","285.17","72.85M","-2.66%"
"01/24/2022","296.37","292.20","297.11","276.05","86.04M","0.11%"
"01/21/2022","296.03","302.69","304.11","295.61","57.98M","-1.85%"
"01/20/2022","301.60","309.07","311.65","301.14","35.38M","-0.57%"
"01/19/2022","303.33","306.29","313.91","302.70","45.93M","0.22%"
"01/18/2022","302.65","304.07","309.80","301.74","42.43M","-2.43%"
"01/14/2022","310.20","304.25","310.82","303.75","39.85M","1.77%"
"01/13/2022","304.80","320.47","320.88","304.00","45.37M","-4.23%"
"01/12/2022","318.27","319.67","323.41","317.08","34.37M","1.04%"
"01/11/2022","314.98","313.38","316.61","309.89","29.39M","0.23%"
"01/10/2022","314.27","309.49","314.72","304.69","44.29M","0.07%"
"01/07/2022","314.04","314.15","316.50","310.09","32.72M","0.05%"
"01/06/2022","313.88","313.15","318.70","311.49","39.65M","-0.79%"
"01/05/2022","316.38","325.86","326.07","315.98","40.05M","-3.84%"
"01/04/2022","329.01","334.83","335.20","326.12","32.67M","-1.71%"
"01/03/2022","334.75","335.35","338.00","329.78","28.92M","-0.47%"
"12/31/2021","336.32","338.51","339.36","335.85","18.00M","-0.88%"
"12/30/2021","339.32","341.91","343.13","338.82","15.99M","-0.77%"
"12/29/2021","341.95","341.30","344.30","339.68","15.04M","0.21%"
"12/28/2021","341.25","343.15","343.81","340.32","15.66M","-0.35%"
"12/27/2021","342.45","335.46","342.48","335.43","19.95M","2.32%"
"12/23/2021","334.69","332.75","336.39","332.73","19.62M","0.45%"
"12/22/2021","333.20","328.30","333.61","325.75","24.83M","1.81%"
"12/21/2021","327.29","323.29","327.73","319.80","24.74M","2.31%"
"12/20/2021","319.91","320.05","322.80","317.57","28.33M","-1.20%"
"12/17/2021","323.80","320.88","324.92","317.25","47.98M","-0.34%"
"12/16/2021","324.90","335.71","336.76","323.02","35.03M","-2.91%"
"12/15/2021","334.65","328.61","335.19","324.50","35.38M","1.92%"
"12/14/2021","328.34","333.22","334.64","324.11","44.44M","-3.26%"
"12/13/2021","339.40","340.68","343.79","339.08","28.90M","-0.92%"
"12/10/2021","342.54","334.98","343.00","334.79","38.10M","2.83%"
"12/09/2021","333.10","334.41","336.49","332.12","22.21M","-0.56%"
"12/08/2021","334.97","335.31","335.50","330.80","24.76M","0.01%"
"12/07/2021","334.92","331.64","335.80","330.10","31.02M","2.68%"
"12/06/2021","326.19","323.95","327.45","319.23","30.03M","0.98%"
"12/03/2021","323.01","331.99","332.70","318.03","41.78M","-1.97%"
"12/02/2021","329.49","330.30","333.49","327.80","30.77M","-0.18%"
"12/01/2021","330.08","335.13","339.28","329.39","33.40M","-0.15%"
"11/30/2021","330.59","335.32","337.78","328.99","42.89M","-1.79%"
"11/29/2021","336.63","334.94","339.03","334.74","28.56M","2.11%"
"11/26/2021","329.68","334.35","337.93","328.12","24.22M","-2.44%"
"11/24/2021","337.91","336.28","338.16","333.91","21.66M","0.07%"
"11/23/2021","337.68","337.05","339.45","333.56","30.43M","-0.63%"
"11/22/2021","339.83","344.62","349.67","339.55","31.03M","-0.96%"
"11/19/2021","343.11","342.64","345.10","342.20","21.96M","0.54%"
"11/18/2021","341.27","338.18","342.45","337.12","22.46M","0.63%"
"11/17/2021","339.12","338.94","342.19","338.00","19.05M","-0.11%"
"11/16/2021","339.51","335.68","340.67","335.51","20.89M","1.02%"
"11/15/2021","336.07","337.54","337.88","334.03","16.72M","-0.19%"
"11/12/2021","336.72","333.92","337.23","333.79","23.83M","1.29%"
"11/11/2021","332.43","331.25","333.77","330.51","16.85M","0.49%"
"11/10/2021","330.80","334.57","334.63","329.92","25.50M","-1.53%"
"11/09/2021","335.95","337.11","338.72","334.53","21.31M","-0.31%"
"11/08/2021","336.99","337.30","337.65","334.44","20.90M","0.28%"
"11/05/2021","336.06","338.51","338.79","334.42","22.57M","-0.11%"
"11/04/2021","336.44","332.89","336.54","329.51","23.99M","0.73%"
"11/03/2021","334.00","333.90","334.90","330.65","21.50M","0.26%"
"11/02/2021","333.13","330.31","333.45","330.00","26.49M","1.14%"
"11/01/2021","329.37","331.36","331.49","326.37","27.07M","-0.68%"
"10/29/2021","331.62","324.13","332.00","323.90","34.77M","2.24%"
"10/28/2021","324.35","324.32","324.87","321.36","26.30M","0.37%"
"10/27/2021","323.17","316.00","326.10","316.00","52.59M","4.21%"
"10/26/2021","310.11","311.00","312.39","308.60","28.11M","0.64%"
"10/25/2021","308.13","309.36","309.40","306.46","17.55M","-0.33%"
"10/22/2021","309.16","310.40","311.09","307.80","17.45M","-0.51%"
"10/21/2021","310.76","307.17","311.02","306.36","16.92M","1.09%"
"10/20/2021","307.41","309.21","309.70","306.11","16.54M","-0.27%"
"10/19/2021","308.23","308.35","309.30","307.22","17.68M","0.31%"
"10/18/2021","307.29","303.57","308.21","302.69","22.73M","1.01%"
"10/15/2021","304.21","302.34","304.45","300.52","25.38M","0.48%"
"10/14/2021","302.75","299.21","303.27","297.83","27.26M","2.17%"
"10/13/2021","296.31","294.91","297.28","293.49","23.42M","1.17%"
"10/12/2021","292.88","295.34","295.44","292.35","17.97M","-0.46%"
"10/11/2021","294.23","292.92","297.97","292.75","19.30M","-0.21%"
"10/08/2021","294.85","296.22","296.64","293.76","17.69M","0.00%"
"10/07/2021","294.85","295.18","296.64","293.92","20.43M","0.59%"
"10/06/2021","293.11","285.78","293.63","285.51","28.00M","1.51%"
